"","id","AD","CIT","SW"
"163","33TIN5LC04ABKF1Q7T6ETOE9WBRY9A",2.467082988,3.5460358045,-0.2999430525
"164","340UGXU9DY1S0DUO0TELILXTQ3DVUE",2.1396619865,1.0916692505,0.840075041
"165","340UGXU9DY1S0DUO0TELILXTQSOUV2",1.9121252485,1.347547759,-0.1389612955
"166","340UGXU9DY1S0DUO0TELILXTQSPVU4",1.861238589,3.099744712,-0.0501474690000001
"167","340UGXU9DY1S0DUO0TELILXTRQOUVZ",2.6444118955,1.786127199,0.2583528635
"168","345LHZDEDXS8O4S5GJ8FZQ5A0POU3X",1.837794522,1.062754959,2.3438662325
"169","345LHZDEDXS8O4S5GJ8FZQ5A0R0U3D",2.7837067195,0.535283179,0.8730123425
"170","345LHZDEDXS8O4S5GJ8FZQ5A0RUU37",3.200465918,1.024108597,1.445475626
"171","34BBWHLWHAB06BZTWMU3LKSW32OWIJ",3.323180327,1.000904301,0.4607788415
"172","34BBWHLWHAB06BZTWMU3LKSW364WI7",3.384419185,2.292228832,3.128192047
"173","34BBWHLWHAB06BZTWMU3LKSW4PJWIP",3.898929314,3.18808932,2.534429078
"174","34FNN24DCM9SJSZE43TXH8979O85Y7",3.0805400365,0.977036063,0.3865011255
"175","34FNN24DCM9SJSZE43TXH8979QOY5K",2.36688715,3.0694521065,1.085394876
"176","34FNN24DCM9SJSZE43TXH897AFT5YB",2.307296415,2.0484521925,0.658442488
"177","34HJIJKLP5WTJF09LNN35HZZS1DV42",1.8269919195,1.281801881,0.813535441
"178","34J10VATJFYVME37KDVXTVAAFGCQI8",1.84573376,2.3780847805,1.0830349215
"179","34J10VATJFYVME37KDVXTVAAFJ5QI7",3.643169893,0.0651901549999999,1.1367522865
"180","34J10VATJFYVME37KDVXTVAAG3MQIT",1.746371536,1.9278145025,0.7988344825
"181","34J10VATJFYVME37KDVXTVAAGLDQIK",2.811329852,1.003989198,0.267831748
"182","34J10VATJFYVME37KDVXTVAAGMFQIO",1.136085187,0.9577844425,0.5393081465
"183","34MAJL3QP4N976YQ1DHXMM7G0RM43Z",2.6306030705,3.3742567605,0.0648144919999999
"184","34PGFRQONOBW1MJZE4F3XL7WHAWJWO",1.996486829,2.1113604105,0.625265173
"185","34Q075JO1XDWYF2AV8GCMQ26LVK10G",3.6910328865,3.070258552,1.372570468
"186","34Q075JO1XDWYF2AV8GCMQ26LX5105",2.2997861155,0.82166334,0.1478753575
"187","34QN5IT0TZRE9FMVUTPR10PE0NW08E",2.841166591,4.3969180695,-0.1575535
"188","34QN5IT0TZRE9FMVUTPR10PEZ5M80B",1.6231054285,0.775813696,-0.0845652569999999
"189","34QN5IT0TZRE9FMVUTPR10PEZ5S80H",2.9932751495,1.662826109,2.370219078
"190","34QN5IT0TZRE9FMVUTPR10PEZHV808",3.688219351,2.02281295,2.020176482
"191","34S6N1K2ZVJKZMCAMQ5GCXA15MULHJ",1.192260103,0.811900724,-0.195009769
"192","34S6N1K2ZVJKZMCAMQ5GCXA162ZLHL",1.8804926325,0.7819435035,-0.1666667695
"193","34S6N1K2ZVJKZMCAMQ5GCXA163JLH7",2.9913025465,4.668643256,2.2011226045
"194","34S9DKFK73PW9H5K83PJBP9T0LZNYU",2.018549031,1.4112653665,-0.1350280255
"195","34S9DKFK73PW9H5K83PJBP9T1V3YNU",1.9990517085,1.0377296525,1.4252382465
"196","34T446B1C0EGLIC8B55W3MLXQLM0C3",4.2488886275,2.094060365,0.4435097495
"197","34X6J5FLPTYRHPND2VGX5WPASBXQJC",1.913133365,1.5184753605,0.6681144705
"198","34X6J5FLPTYRHPND2VGX5WPAT2GQJE",3.9417516315,3.306961111,1.7985322185
"199","34X6J5FLPTYRHPND2VGX5WPATHXQJP",3.326513475,0.908714823,0.80781584
"200","34YB12FSQYOQ58ZK2WODRADPR9RMG8",2.865573499,2.9967283325,1.936877648
"201","34Z02EIMISDX7ZEJXR0MSWL1DI80TT",4.550539065,-0.438293177,-0.152369165
"202","34Z02EIMISDX7ZEJXR0MSWL1DI90TU",3.627100216,1.91654725,0.963716204
"203","34Z02EIMISDX7ZEJXR0MSWL1E27T0Q",3.477870387,2.1890211415,1.8219339435
"204","34Z02EIMISDX7ZEJXR0MSWL1EFR0T7",1.0157348265,0.920137008,-0.0481152719999999
"205","351SEKWQS0HNTOPT06N5LPASDVTMD7",1.4711844265,0.9170778715,0.1678087695
"206","352YTHGROVDO1E5PGY6ZQG8QJRD4H5",3.176633881,1.118800197,0.2615939615
"207","352YTHGROVDO1E5PGY6ZQG8QKIHH45",2.242082301,0.816345547,-0.402216285
"208","354GIDR5ZB6WRQHSZPCC8LJWG5Z001",3.859324367,1.765151568,2.9809778375
"209","354P56DE9K3AAA1OTQG5X6Z2J4KS7Y",4.403056165,1.9063379255,2.786627906
"210","354P56DE9K3AAA1OTQG5X6Z2J5JS7Z",1.872039363,2.0540255785,0.21438922
"211","354P56DE9K3AAA1OTQG5X6Z2JON7SK",2.196287305,2.1949777035,1.359968321
"212","3570Y55XZPJQZPOYLZCOL50WZDIGYS",2.4810036375,0.7747643705,0.0927604594999999
"213","3570Y55XZPJQZPOYLZCOL50WZE6GYI",2.623676845,1.9149909285,0.7321124065
"214","3570Y55XZPJQZPOYLZCOL50WZSYYGK",1.888947278,1.3041623795,0.0115705329999999
"215","3570Y55XZPJQZPOYLZCOL50WZXLYGH",3.253763548,0.7123257355,0.0149243785
"216","3570Y55XZPJQZPOYLZCOL50WZZ3YG3",3.121124471,0.9814069025,1.225424753
"217","358010RM5ETKHHOJ5YP82SWXKACVX2",2.269692996,3.3689937435,1.6759476935
"218","358UUM7WRZ3Y9V1BE1G07WU6XU9R71",3.197584237,3.7648175455,2.3797381715
"219","35BLDD71I6X9MCOY6GDTZDC8S6OZV9",3.0723949505,1.220192494,0.613854118
"220","35BLDD71I6X9MCOY6GDTZDC8S9UZVL",3.005118863,2.109411667,0.7542237025
"221","35BLDD71I6X9MCOY6GDTZDC8SAHVZ6",3.24715082,0.8706523135,1.5721348235
"222","35BLDD71I6X9MCOY6GDTZDC8TQBVZX",1.521879525,0.700982004,0.043363946
"223","35BLDD71I6X9MCOY6GDTZDC8TSTVZJ",1.15468785,1.4943509555,-0.0760813645
"224","35DR22AR5DK058M0LOJ2JX4ETH13XD",2.511305433,2.8732382515,2.3648330585
"225","35DR22AR5DK058M0LOJ2JX4ETQE3X8",2.1035704235,4.9840199055,1.1306815545
"226","35DR22AR5DK058M0LOJ2JX4EU613XS",2.654378207,0.9293958405,0.84984662
"227","35DR22AR5DK058M0LOJ2JX4EU743XX",1.9454339765,1.9927035965,-0.165653927
"228","35GCEFQ6I5OPA3MFM67NGIKP1MS3ZD",2.429796529,2.1004732955,1.237273752
"229","35GCEFQ6I5OPA3MFM67NGIKP1P23ZT",2.6948544245,0.836451584,0.840718523
"230","35GMH2SV3EHGLXO59HD2JBHI870EOY",2.3300671395,2.178607028,0.38242786
"231","35H6S234SA0Q08P8YKY5YHPEAEH65A",1.512347493,1.0530651185,0.67755729
"232","35H6S234SA0Q08P8YKY5YHPEB3Q65Y",2.7641795225,2.729619092,0.6557319165
"233","35H6S234SA0Q08P8YKY5YHPEB9765R",2.1036269725,2.610146706,0.733448304
"234","35H6S234SA0Q08P8YKY5YHPEBZC56B",3.08626602,2.3513259215,2.0796052515
"235","35K3O9HUABDMFKBCAEUCWH84G6SFEW",5.371616887,2.736196449,3.101644267
"236","35K3O9HUABDMFKBCAEUCWH84HXSFEF",3.5970276165,2.4790580155,2.3450377195
"237","35L9RVQFCOINICZ4V4XH3K6KJT0UHW",3.7300732215,2.9633656405,1.6788561415
"238","35L9RVQFCOINICZ4V4XH3K6KJTPHU8",3.9875755855,3.564611666,0.537963618
"239","35L9RVQFCOINICZ4V4XH3K6KJTUUHQ",1.4231940715,1.092372803,0.4760336425
"240","35LDD5557A4V7UV3SN9SP25IXKNMKD",3.562913962,3.999217329,1.798695179
"241","35LDD5557A4V7UV3SN9SP25IYO8KM5",3.114349025,2.807679949,1.574738431
"242","35LDD5557A4V7UV3SN9SP25IYR6KM9",2.994830575,2.174828966,0.1267369775
"243","35USIKEBNRGUQXVE2KURSYP0133N6B",2.4393921535,1.8496302435,2.004959289
"244","35USIKEBNRGUQXVE2KURSYP01F96NO",2.3721788885,1.0957377025,-0.081673004
"245","35USIKEBNRGUQXVE2KURSYP01OGN6U",2.3063571185,2.0213742455,0.7034430955
"246","35USIKEBNRGUQXVE2KURSYP02TO6NW",3.4859578175,1.2056166015,0.890757753
"247","3634BBTX0OUYVPDY6XK3HW6W8U0FIW",2.2920362065,2.1966940685,2.201059754
"248","3634BBTX0OUYVPDY6XK3HW6W90HIFT",4.1466609385,3.3264824945,2.401726024
"249","3634BBTX0OUYVPDY6XK3HW6W9N9IFV",1.334548348,1.322641641,0.8667612205
"250","369J354OFDAOG5ESFGHW2EG30CLG66",1.843706491,3.951394447,2.0543061995
"251","369J354OFDAOG5ESFGHW2EG30N2G69",3.5537111075,3.00987434,1.173508577
"252","369J354OFDAOG5ESFGHW2EG30RJG6Y",2.68878967,1.728331933,1.820430099
"253","36AHBNMV1RCNN5E7J9BGFKXZM5EYDG",3.050416451,3.801598033,0.134519732
"254","36AHBNMV1RCNN5E7J9BGFKXZNPFDY1",1.9887099815,1.426684181,1.627762153
"255","36AHBNMV1RCNN5E7J9BGFKXZNS9YDM",1.81978949,1.122742917,1.9482522285
"256","36DSNE9QZ5YOWDAXNIOTGRUADHIOJJ",2.798782454,1.978766547,0.3157468005
"257","36DSNE9QZ5YOWDAXNIOTGRUAEAWJOF",2.393710067,0.9321425445,-0.1797629305
"258","36H9ULYP62UUQ0X4OF53TXLWLEIJFF",3.1131298795,3.759281981,0.3579974095
"259","36H9ULYP62UUQ0X4OF53TXLWM1NJFV",3.2626981875,1.9484830495,2.0724657325
"260","36H9ULYP62UUQ0X4OF53TXLWM43JFH",1.916510696,2.7620559335,1.025053107
"261","36NEMU28XFDM2UPKH1SVDDZDK6DMWK",4.2953437795,2.190789286,2.8573534695
"262","36NEMU28XFDM2UPKH1SVDDZDKNRWM6",2.043718107,1.4587166715,-0.107672701
"263","36NEMU28XFDM2UPKH1SVDDZDLVFMW1",2.737815392,2.8339345865,1.7242827285
"264","36TFCYNS44AFZGTZ0984NR5OC84XH7",1.9859443485,2.44566805,0.572891618
"265","36U2A8VAG1ZV1BKHBQX3JXSP6E8YKQ",2.0342840285,2.195333067,3.4190213345
"266","36U2A8VAG1ZV1BKHBQX3JXSP6GFKYN",2.004062275,1.4598592745,0.5632441495
"267","36U2A8VAG1ZV1BKHBQX3JXSP73DKYW",3.4415542105,1.2225126315,0.245077961
"268","36V4Q8R5ZK0HIXTY5STPLOHRWQ7MQX",1.050986504,1.275877743,0.057607323
"269","36V4Q8R5ZK0HIXTY5STPLOHRX0LMQW",1.598236932,0.8596200835,-0.0649634255
"270","36V4Q8R5ZK0HIXTY5STPLOHRX36MQN",1.183484041,0.758368605,-0.212417412
"271","36V4Q8R5ZK0HIXTY5STPLOHRXT9MQ6",1.8447130595,1.407802478,2.771202551
"272","36W0OB37HWE44BTE1RWPKCLZKRBHZZ",1.229113774,0.954613168,0.165343222
"273","36W0OB37HWE44BTE1RWPKCLZLCHZHU",2.10730286,2.324406033,1.7563151575
